Ward,Province,Municipality,Hazard,District,Incident on,Title,tweets
1,Sudurpashchim,Sayal,Flood,Doti,2021-10-19,"Flood at Rokaya, Sayal Rural Municipality-1","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Rokaya, Sayal Rural Municipality-1 in Doti district, Sudurpashchim province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #FloodAlert #StaySafe #Doti #Sudurpashchim"
5,Koshi,Triyuga,Flood,Udayapur,2021-10-19,Flood at Triyuga Municipality-5,"🚨 Breaking News 🚨
Flood strikes Triyuga Municipality-5 in Udayapur, Koshi Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #TriyugaMunicipality5 #Udayapur #Koshi"
4,Bagmati,Phikkal,Flood,Sindhuli,2021-10-19,Flood at Phikkal Rural Municipality-4,"🚨 Just in: Flood hits Phikkal Rural Municipality-4 in Sindhuli, Bagmati Province. Stay safe and take necessary precautions! #FloodAlert #Sindhuli #Bagmati"
9,Madhesh,Saptakoshi,Flood,Saptari,2021-10-19,"Flood at koshi tappu, Saptakoshi Municipality-9","🚨 Breaking News 🚨
🌊 Flood Alert 🌊

Floods have hit Koshi Tappu in Saptari District, Madhesh Province. Stay safe, everyone! #FloodAlert #StaySafe #Saptari #Madhesh #NaturalDisaster"
3,Sudurpashchim,Dhakari,Flood,Achham,2021-10-19,"Flood at Nawagau, Dhakari Rural Municipality-3","🚨 Flood Alert 🚨 
🌊 A severe flood has occurred in Nawagau, Dhakari Rural Municipality-3, Achham. Please take necessary precautions and stay safe. #FloodAlert #NawagauFlood #StaySafe #Achham #Sudurpashchim"
6,Koshi,Ramprasad Rai,Flood,Bhojpur,2021-10-19,Flood at Ramprasad Rai Rural Municipality-6,"🚨 Just in! 🌊 Flood reported at Ramprasad Rai Rural Municipality-6 in Bhojpur, Koshi Province. Stay safe everyone! #FloodAlert #RamprasadRai #Bhojpur #Koshi"
4,Karnali,Bheriganga,Flood,Surkhet,2021-10-19,Flood at Bheriganga Municipality-4,"🚨 ALERT 🚨

🌊 Flood at Bheriganga Municipality-4 🌊

📅 Incident on: 2021-10-19
📍 Province: Karnali
🏞️ District: Surkhet
🏙️ Municipality: Bheriganga
🏢 Ward: 4

Stay safe and follow local authorities' instructions. Our thoughts are with those affected. 🙏 #Flood #Nepal"
8,Karnali,Tatopani,Flood,Jumla,2021-10-18,Flood at Tatopani Rural Municipality-8,"🚨 BREAKING 🚨 

Flood strikes Tatopani Rural Municipality-8, Jumla, Karnali Province. Stay safe and follow local authorities' instructions. #FloodAlert #Tatopani #Jumla"
4,Sudurpashchim,Chure,Flood,Kailali,2021-10-18,"Flood at Mallo, Chure Rural Municipality-4","🚨 ALERT 🚨
Flood hits Mallo in Chure Rural Municipality-4, Kailali district, Sudurpashchim province. Stay safe and take necessary precautions. #FloodAlert #StaySafe #MalloFloods"
1,Bagmati,Kathmandu,Flood,Kathmandu,2021-10-05,"Flood at Kantipath, Kathmandu Metropolitan City-1","🚨🌊 Flood alert! 🌊🚨
A severe flood hit Kantipath, Kathmandu Metropolitan City-1, Kathmandu District, Bagmati Province on 2021-10-05. Stay safe and take necessary precautions. #Flood #Kathmandu #StaySafe"
8,Bagmati,Raksirang,Flood,Makwanpur,2021-09-28,Flood at Raksirang Rural Municipality-8,"🚨 Flood Alert 🚨

🌊 A devastating flood has hit Raksirang Rural Municipality-8 in Makwanpur district, Bagmati province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Raksirang #Makwanpur #Bagmati"
1,Gandaki,Dhorpatan,Flood,Baglung,2021-09-22,"Flood at Tarikhet, Dhorpatan Municipality-1","🚨 ALERT 🚨
Flood reported in Tarikhet, Dhorpatan Municipality-1, Baglung District, Gandaki Province. Please stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Baglung #Gandaki"
7,Sudurpashchim,Badimalika,Flood,Bajura,2021-09-21,"Flood at aaticharu, Badimalika Municipality-7","🚨Flood Alert!🚨
🌊 A devastating flood has hit Aaticharu, Badimalika Municipality-7 in Bajura district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Floods #StaySafe #Bajura #Badimalika"
1,Bagmati,Chandragiri,Flood,Kathmandu,2021-09-20,"Flood at tribeni chok, Chandragiri Municipality-1","🚨 Urgent Alert 🚨

🌊 Flood at Tribeni Chok, Chandragiri Municipality-1 🌊

📅 Incident Date: 2021-09-20
📍 Province: Bagmati
📍 District: Kathmandu
📍 Municipality: Chandragiri
📍 Ward: 1

Please stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
7,Lumbini,Khajura,Flood,Banke,2021-09-08,"Flood at Mankhola, Khajura Rural Municipality-7","🚨 Flood Alert! 🌊

📍 Mankhola, Khajura Rural Municipality-7, Banke, Lumbini
📅 Incident on: 2021-09-08

Stay safe and follow local authorities' instructions. Help those in need and share important updates. #FloodSafety #StaySafe #Banke #Lumbini"
4,Lumbini,Sunil Smriti,Flood,Rolpa,2021-09-06,"Flood at Sulichaur, Sunil Smriti Rural Municipality-4","🚨 Just in: A devastating flood has hit Sulichaur in Sunil Smriti Rural Municipality-4, Rolpa. Stay safe and follow local authorities' instructions. #FloodAlert #Rolpa #Nepal 🌊💔"
8,Bagmati,Kageshwori Manahora,Flood,Kathmandu,2021-09-06,"Flood at gothara, Kageshwori Manahora Municipality-8","🚨 Alert 🚨: A devastating flood has hit Gothara in Kageshwori Manahora Municipality-8, Kathmandu, Bagmati Province. Stay safe and seek higher ground if you are in the area. #Flood #Emergency #StaySafe"
11,Bagmati,Budhanilakantha,Flood,Kathmandu,2021-09-05,"Flood at Kapan Tarkari bajar, Budhanilakantha Municipality-11","🚨🌊 FLOOD ALERT 🌊🚨
Flood reported at Kapan Tarkari bajar, Budhanilakantha Municipality-11, Kathmandu, Bagmati Province. Stay safe and take necessary precautions. #FloodAlert #StaySafe #Kathmandu #Bagmati"
17,Bagmati,Hetauda,Flood,Makwanpur,2021-09-03,Flood at Hetauda Submetropolitan City-17,"🚨 Breaking News 🚨
Floods have struck Hetauda Submetropolitan City-17 in Makwanpur district, Bagmati province. Stay safe and follow local authorities' instructions. #FloodAlert #Hetauda #StaySafe"
13,Gandaki,Pokhara Lekhnath,Flood,Kaski,2021-09-02,"Flood at Kahukhola, Pokhara Lekhnath Metropolitan City-13","🚨 Urgent Alert 🚨
Flood reported at Kahukhola, Pokhara Lekhnath Metropolitan City-13. Stay safe and follow local authorities' instructions. #FloodAlert #PokharaLekhnath #StaySafe"
11,Gandaki,Pokhara Lekhnath,Flood,Kaski,2021-09-02,"Flood at Kahu, Pokhara Lekhnath Metropolitan City-11","🚨 ALERT 🚨 A devastating flood has occurred in Kahu, Pokhara Lekhnath Metropolitan City-11, Kaski. Stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
4,Lumbini,Ghorahi,Flood,Dang,2021-09-01,"Flood at Gogli, Ghorahi Submetropolitan City-4","🚨 #FloodAlert 🚨

🌊 A devastating flood has hit Gogli in Ghorahi Submetropolitan City-4, Dang, Lumbini Province. Stay safe and follow local authorities' instructions. #StaySafe #Ghorahi #Dang #Lumbini #Floods #NaturalDisaster"
8,Gandaki,Pokhara Lekhnath,Flood,Kaski,2021-09-01,"Flood at Bara, Pokhara Lekhnath Metropolitan City-8","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Bara, Pokhara Lekhnath Metropolitan City-8 in Kaski district, Gandaki province. Stay safe and follow local authorities' instructions. #Flood #StaySafe #PokharaLekhnath #Gandaki #Kaski"
6,Bagmati,Likhu,Flood,Nuwakot,2021-08-31,"Flood at kumalthandi, Likhu Rural Municipality-6","🚨 Urgent Alert 🚨
Flood hits Kumalthandi in Likhu Rural Municipality-6, Nuwakot, Bagmati Province. Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #StaySafe"
8,Gandaki,Raghuganga,Flood,Myagdi,2021-08-30,Flood at Raghuganga Rural Municipality-8,"🚨 ALERT! 🌊 Flood reported in Raghuganga Rural Municipality-8, Myagdi. Stay safe and follow local authorities' instructions. #Flood #Myagdi #StaySafe"
3,Sudurpashchim,Apihimal,Flood,Darchula,2021-08-30,"Flood at rigur, Apihimal Rural Municipality-3","🚨 Urgent Alert 🚨
Flood reported in Rigur, Apihimal Rural Municipality-3, Darchula, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #FloodAlert #EmergencyResponse #StaySafe"
1,Sudurpashchim,Mahakali_Darchula,Flood,Darchula,2021-08-29,"Flood at shreebagar, Mahakali_Darchula Municipality-1","🚨 Breaking News 🚨 
🌊 Flood Alert 🌊

Flood hits Shreebagar, Mahakali_Darchula Municipality-1, Darchula, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Darchula #Mahakali_Darchula"
3,Sudurpashchim,Dunhu,Flood,Darchula,2021-08-29,Flood at Dunhu Rural Municipality-3,"🚨 Urgent Update 🚨
Flood alert in Dunhu Rural Municipality-3, Darchula. Stay safe and follow local authorities' instructions. #FloodWarning #StaySafe #Darchula #Nepal"
3,Sudurpashchim,Dhangadhi,Flood,Kailali,2021-08-28,"Flood at boradadi , Dhangadhi Submetropolitan City-3","🚨 ALERT 🚨
Flood reported in Boradadi, Dhangadhi Submetropolitan City-3! Stay safe and follow local authorities' instructions. #FloodAlert #Dhangadhi #StaySafe"
4,Sudurpashchim,Godawari_Kailali,Flood,Kailali,2021-08-27,"Flood at Kothe pul, Godawari_Kailali Municipality-4","🚨 Urgent Alert 🚨
Flood reported in Kothe pul, Godawari_Kailali Municipality-4, Kailali. Please exercise caution and stay safe. #Floods #StaySafe #Kailali"
4,Lumbini,Omsatiya,Flood,Rupandehi,2021-08-27,"Flood at Betauliya, Omsatiya Rural Municipality-4","🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

A devastating flood has hit Betauliya in Omsatiya Rural Municipality-4, Rupandehi District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #FloodAlert #StaySafe"
1,Lumbini,Dangisharan,Flood,Dang,2021-08-27,"Flood at Baki, Dangisharan Rural Municipality-1","🚨 Flood Alert 🚨

🌊 A devastating flood has occurred in Baki, Dangisharan Rural Municipality-1, Dang district, Lumbini province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Dangisharan #Lumbini"
4,Gandaki,Binayee Tribeni,Flood,Nawalparasi East,2021-08-27,Flood at Binayee Tribeni Rural Municipality-4,"🚨 Flood Alert 🚨

🌊 A severe flood has occurred in Binayee Tribeni Rural Municipality-4, Nawalparasi East, Gandaki Province. Stay safe and follow local authorities' instructions. #FloodWarning #NepalDisaster #StaySafe"
2,Bagmati,Golanjor,Flood,Sindhuli,2021-08-27,"Flood at Bittijor, Golanjor Rural Municipality-2","🚨 Urgent Update 🚨
Flood alert at Bittijor, Golanjor Rural Municipality-2, Sindhuli, Bagmati Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Sindhuli"
4,Sudurpashchim,Bedkot,Flood,Kanchanpur,2021-08-26,"Flood at Baitada, Bedkot Municipality-4","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Baitada, Bedkot Municipality-4, Kanchanpur, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Kanchanpur #Sudurpashchim"
4,Bagmati,Madi,Flood,Chitwan,2021-08-26,"Flood at Narayangadh, Madi Municipality-4","🚨 Just in: A devastating flood has hit Narayangadh in Madi Municipality-4, Chitwan, Bagmati Province. Stay safe and take necessary precautions. #FloodAlert #NarayangadhFlood #StaySafe"
4,Karnali,Kumakh,Flood,Salyan,2021-08-24,Flood at Kumakh Rural Municipality-4,"🚨 #FloodAlert 🚨
🌊 A devastating flood has hit Kumakh Rural Municipality-4, Salyan, Karnali Province. 
📅 Incident Date: 2021-08-24
🙏 Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Flood #EmergencyResponse"
5,Sudurpashchim,Bhajani,Flood,Kailali,2021-08-24,"Flood at Pagiyapasar, Bhajani Municipality-5","🚨 Breaking News 🚨
#Flood alert in Pagiyapasar, Bhajani Municipality-5, Kailali, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #EmergencyAlert #StaySafe #NaturalDisaster"
19,Sudurpashchim,Dhangadhi,Flood,Kailali,2021-08-24,"Flood at Lalipur, Dhangadhi Submetropolitan City-19","🚨 Flood Alert 🚨
Floods have hit Lalipur in Dhangadhi Submetropolitan City-19, Kailali, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Dhangadhi #Kailali #Sudurpashchim"
5,Bagmati,Kageshwori Manahora,Flood,Kathmandu,2021-08-19,"Flood at Mulpani, Kageshwori Manahora Municipality-5","🚨 Breaking News 🚨
Flood strikes Mulpani, Kageshwori Manahora Municipality-5, Kathmandu. Stay safe and follow local authorities' instructions. #FloodAlert #Kathmandu #StaySafe"
3,Lumbini,Sunil Smriti,Flood,Rolpa,2021-08-12,"Flood at Ruinibang, Sunil Smriti Rural Municipality-3","🚨 Flood Alert 🚨

A devastating flood has hit Ruinibang in Sunil Smriti Rural Municipality-3, Rolpa. Stay safe and seek higher ground immediately. Follow local authorities for evacuation instructions. #FloodAlert #StaySafe #RolpaFloods2021"
4,Lumbini,Tulsipur,Flood,Dang,2021-08-09,"Flood at Simleni, Tulsipur Submetropolitan City-4","🚨#BreakingNews: Flood hits Simleni in Tulsipur Submetropolitan City-4, Dang. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #SimleniFlood #Dang #Lumbini"
4,Karnali,Chhatreshwori,Flood,Salyan,2021-08-07,"Flood at Jutdhunga, Chhatreshwori Rural Municipality-4","⚠️ Flood Alert ⚠️

A severe flood has occurred at Jutdhunga, Chhatreshwori Rural Municipality-4, Salyan. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Salyan"
1,Koshi,Halesi Tuwachung,Flood,Khotang,2021-08-04,"Flood at thaudilkhola, Halesi Tuwachung Municipality-1","🚨 #FloodAlert 🚨

🌊 A devastating flood occurred at Thaudilkhola, Halesi Tuwachung Municipality-1, Khotang, Koshi Province on 2021-08-04. Please stay safe and follow local authorities' instructions. 🙏 #StaySafe #KhotangFlood #EmergencyResponse"
7,Bagmati,Helambu,Flood,Sindhupalchok,2021-08-01,"Flood at Chanaute, Helambu Rural Municipality-7","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Chanaute, Helambu Rural Municipality-7 in Sindhupalchok district, Bagmati province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Flood #Emergency #Nepal"
4,Bagmati,Helambu,Flood,Sindhupalchok,2021-08-01,Flood at Helambu Rural Municipality-4,"🚨 Emergency Alert 🚨
Flood hits Helambu Rural Municipality-4, Sindhupalchok. Stay safe and follow local authorities' instructions. #FloodAlert #Helambu #Sindhupalchok #StaySafe"
3,Bagmati,Helambu,Flood,Sindhupalchok,2021-08-01,"Flood at Gauribyasi, Helambu Rural Municipality-3","🚨 Urgent Alert 🚨
Flood reported in Gauribyasi, Helambu Rural Municipality-3, Sindhupalchok, Bagmati Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Sindhupalchok #Bagmati"
2,Bagmati,Helambu,Flood,Sindhupalchok,2021-08-01,"Flood at Palchokimai, Helambu Rural Municipality-2","🌊 Flood alert! 🚨 A devastating flood hit Palchokimai in Helambu Rural Municipality-2, Sindhupalchok. Stay safe and follow local authorities' instructions. #FloodAlert #Sindhupalchok #Helambu #StaySafe"
1,Bagmati,Helambu,Flood,Sindhupalchok,2021-08-01,"Flood at Chiurikharka, Helambu Rural Municipality-1","🚨 Urgent Alert 🚨
Flood reported in Chiurikharka, Helambu Rural Municipality-1, Sindhupalchok. Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #Bagmati #Sindhupalchok"
2,Bagmati,Tripurasundari,Flood,Sindhupalchok,2021-08-01,"Flood at bugarhai, Tripurasundari Rural Municipality-2","🚨 ALERT: Flooding reported in Bugarhai, Tripurasundari Rural Municipality-2, Sindhupalchok, Bagmati Province. Stay safe and follow local authorities' instructions. #Flood #Nepal #StaySafe"
11,Bagmati,Melamchi,Flood,Sindhupalchok,2021-07-31,"Flood at Melamchibajar, Melamchi Municipality-11","🚨 Urgent Alert 🚨
Flood reported in Melamchibajar, Melamchi Municipality-11, Sindhupalchok. Stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
7,Bagmati,Helambu,Flood,Sindhupalchok,2021-07-31,Flood at Helambu Rural Municipality-7,"🚨 Just in! 🌊 Flood hits Helambu Rural Municipality-7 in Sindhupalchok district, Bagmati province. Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #StaySafe"
3,Karnali,Patrasi,Flood,Jumla,2021-07-26,"Flood at chuma, Patrasi Rural Municipality-3","🚨 Urgent Alert 🚨

🌊 Flood warning at Chuma, Patrasi Rural Municipality-3, Jumla, Karnali Province. Take immediate precautions and stay safe! #FloodAlert #Emergency #StaySafe #Jumla #Karnali"
3,Sudurpashchim,Apihimal,Flood,Darchula,2021-07-22,"Flood at Mankhola, Apihimal Rural Municipality-3","🚨 ALERT 🚨 Flooding reported in Mankhola, Apihimal Rural Municipality-3, Darchula. Stay safe and follow local authorities' instructions. #Flood #Sudurpashchim #Darchula"
17,Madhesh,Janakpur,Flood,Dhanusa,2021-07-21,"Flood at Osara, Janakpur Submetropolitan City-17","🚨 Breaking News 🚨
Flood alert in Osara, Janakpur Submetropolitan City-17! 🌊💦
Stay safe and follow local authorities' instructions. #Flood #Emergency #Janakpur #Dhanusa #StaySafe"
5,Madhesh,Hansapur,Flood,Dhanusa,2021-07-18,"Flood at Nikal, Hansapur Municipality-5","🚨 Disaster Alert 🚨
Flood reported in Nikal, Hansapur Municipality-5, Dhanusa district, Madhesh province. Stay safe and follow local authorities' instructions. #FloodAlert #NikalFlood #StaySafe"
5,Gandaki,Hupsekot,Flood,Nawalparasi East,2021-07-16,"Flood at Bkkhor, Hupsekot Rural Municipality-5","🚨 Urgent Alert 🚨
🌊 Flood at Bkkhor, Hupsekot Rural Municipality-5 🌊
📅 Incident on: 2021-07-16
📍 Province: Gandaki
🏞️ District: Nawalparasi East
🏘️ Municipality: Hupsekot
🌧️ Stay safe and follow local authorities' instructions. #Flood #Emergency #NawalparasiEast"
1,Sudurpashchim,Sanphebagar,Flood,Achham,2021-07-14,Flood at Sanphebagar Municipality-1,"🚨 Urgent Alert 🚨
Floods have hit Sanphebagar Municipality-1 in Achham district, Sudurpashchim province. Stay safe and take necessary precautions. #FloodAlert #Sanphebagar #Achham #Sudurpashchim"
10,Lumbini,Sainamaina,Flood,Rupandehi,2021-07-14,Flood at Sainamaina Municipality-10,"🚨 Urgent Alert 🚨
Flood reported in Sainamaina Municipality-10, Rupandehi. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Sainamaina #Rupandehi"
5,Lumbini,Rajpur,Flood,Dang,2021-07-14,Flood at Rajpur Rural Municipality-5,"🚨🌊 Flood Alert! 🌊🚨
A devastating flood has struck Rajpur Rural Municipality-5 in Dang district, Lumbini province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #RajpurRuralMunicipality5 #Dang #Lumbini"
5,Bagmati,Marin,Flood,Sindhuli,2021-07-11,"Flood at Badhimuhan, Marin Rural Municipality-5","🚨 Disaster Alert 🚨
Floods have struck Badhimuhan in Marin Rural Municipality-5, Sindhuli. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Sindhuli"
15,Gandaki,Madhyabindu,Flood,Nawalparasi East,2021-07-08,"Flood at Garmitole, Madhyabindu Municipality-15","🚨 ALERT: Flood reported in Garmitole, Madhyabindu Municipality-15, Nawalparasi East. Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #Gandaki"
11,Gandaki,Madhyabindu,Flood,Nawalparasi East,2021-07-08,"Flood at Batasa, Madhyabindu Municipality-11","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Batasa, Madhyabindu Municipality-11 in Nawalparasi East district, Gandaki Province. 

📅 Incident Date: 2021-07-08

Stay safe and take necessary precautions. Our thoughts are with the affected community. #Flood #Nepal"
2,Gandaki,Bandipur,Flood,Tanahu,2021-07-08,"Flood at Khahare, Bandipur Rural Municipality-2","🚨 Just in! A devastating flood has hit Khahare in Bandipur Rural Municipality-2, Tanahu. Stay safe, everyone! #FloodAlert #EmergencyResponse #Bandipur #Tanahu #Gandaki"
7,Gandaki,Myagde,Flood,Tanahu,2021-07-08,"Flood at Ghumte, Myagde Rural Municipality-7","🚨 ALERT 🚨 Flooding reported in Ghumte, Myagde Rural Municipality-7, Tanahu district, Gandaki province. Stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
18,Gandaki,Pokhara Lekhnath,Flood,Kaski,2021-07-07,"Flood at Chankhapur, Pokhara Lekhnath Metropolitan City-18","🚨 ALERT 🚨 Flood reported at Chankhapur, Pokhara Lekhnath Metropolitan City-18, Kaski, Gandaki Province. Stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
5,Gandaki,Mangala,Flood,Myagdi,2021-07-06,"Flood at Chhisbang, Mangala Rural Municipality-5","🌊 Flood Alert 🌊

📍 Chhisbang, Mangala Rural Municipality-5, Myagdi, Gandaki Province

⚠️ A severe flood has occurred in the area. Please take necessary precautions and stay safe. #FloodAlert #Myagdi #Gandaki #StaySafe"
1,Madhesh,Agnisair Krishna Savaran,Flood,Saptari,2021-07-06,"Flood at mahuli, Agnisair Krishna Savaran Rural Municipality-1","🚨 Flood Alert 🚨
🌊 A devastating flood has hit Mahuli, Agnisair Krishna Savaran Rural Municipality-1 in Saptari district, Madhesh province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Saptari #Madhesh"
19,Lumbini,Ghorahi,Flood,Dang,2021-07-05,"Flood at GhorDhaira, Ghorahi Submetropolitan City-19","🚨 ALERT 🚨
Flood reported in GhorDhaira, Ghorahi Submetropolitan City-19, Dang, Lumbini Province. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #GhorDhaira #Ghorahi #Dang #Lumbini"
9,Bagmati,Raksirang,Flood,Makwanpur,2021-07-05,Flood at Raksirang Rural Municipality-9,"🚨 #FloodAlert 🚨
A devastating flood has hit Raksirang Rural Municipality-9, Makwanpur District, Bagmati Province. Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #Flood #Emergency #StaySafe"
13,Madhesh,Ishworpur,Flood,Sarlahi,2021-07-04,Flood at Ishworpur Municipality-13,"🚨 Breaking News 🚨 
Flood alert! 🌊💔
Floods have hit Ishworpur Municipality-13, Sarlahi District, Madhesh Province. Stay safe, everyone! 🙏 #Flood #Emergency #StaySafe #Ishworpur #Sarlahi"
1,Gandaki,Bandipur,Flood,Tanahu,2021-07-03,Flood at Bandipur Rural Municipality-1,"🚨 Urgent Alert 🚨 Flooding reported in Bandipur Rural Municipality-1, Tanahu, Gandaki Province. Please take necessary precautions and stay safe. #FloodAlert #Bandipur #Tanahu #Gandaki #StaySafe"
6,Bagmati,Phikkal,Flood,Sindhuli,2021-07-03,"Flood at Sokhukhola, Phikkal Rural Municipality-6","🚨 Urgent Alert 🚨
Flood reported in Sokhukhola, Phikkal Rural Municipality-6, Sindhuli. Stay safe and follow local authorities' instructions. #FloodAlert #Sindhuli #StaySafe"
7,Madhesh,Kaudena,Flood,Sarlahi,2021-07-03,"Flood at Sakraul, Kaudena Rural Municipality-7","🚨 #FloodAlert 🚨

🌊 A devastating flood has hit Sakraul, Kaudena Rural Municipality-7 in Sarlahi district, Madhesh province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Flood #Sarlahi #StaySafe"
6,Gandaki,Bhirkot,Flood,Syangja,2021-07-03,"Flood at Ekuwar, Bhirkot Municipality-6","🚨 Urgent Alert 🚨 
Flood reported in Ekuwar, Bhirkot Municipality-6, Syangja. Stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Syangja #Gandaki"
3,Gandaki,Aarughat,Flood,Gorkha,2021-07-03,"Flood at Soti, Aarughat Rural Municipality-3","🚨 #FloodAlert 🚨

🌊 A devastating flood has hit Soti, Aarughat Rural Municipality-3, Gorkha district, Gandaki province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Floods #Gorkha #Nepal"
3,Madhesh,Rajpur,Flood,Rautahat,2021-07-02,"Flood at Balawa, Rajpur Municipality-3","🚨#FloodAlert 🚨
🌊 A devastating flood has hit Balawa, Rajpur Municipality-3 in Rautahat district, Madhesh province. Our thoughts are with the affected community. Stay safe and follow local authorities' instructions. #Floods #EmergencyResponse #StaySafe"
4,Gandaki,Bhanu,Flood,Tanahu,2021-07-02,"Flood at Chudi, Bhanu Municipality-4","🚨 Urgent Update 🚨 
Flood alert in Chudi, Bhanu Municipality-4, Tanahu. Stay safe, seek higher ground, and follow local authorities' instructions. #FloodSafety #StaySafe #TanahuFloods"
9,Gandaki,Vyas,Flood,Tanahu,2021-07-02,"Flood at Barya, Vyas Municipality-9","🚨 Alert 🚨: A devastating flood has hit Barya, Vyas Municipality-9 in Tanahu district, Gandaki province. Stay safe and follow local authorities' instructions. #Flood #Emergency #StaySafe"
2,Bagmati,Benighat Rorang,Flood,Dhading,2021-07-01,"Flood at Hurke, Benighat Rorang Rural Municipality-2","🚨 ALERT 🚨
Flood reported at Hurke, Benighat Rorang Rural Municipality-2, Dhading. Stay safe and follow local authorities' instructions. 🌊💦 #FloodAlert #StaySafe #Dhading #BenighatRorang"
1,Bagmati,Dudhouli,Flood,Sindhuli,2021-07-01,"Flood at Bhaluwai, Dudhouli Municipality-1","🚨 Flood Alert 🚨

🌊 A devastating flood has hit Bhaluwai, Dudhouli Municipality-1, Sindhuli. Stay safe and evacuate if necessary. #FloodAlert #Sindhuli #StaySafe"
5,Bagmati,Benighat Rorang,Flood,Dhading,2021-07-01,"Flood at Bishaltar, Benighat Rorang Rural Municipality-5","🚨 ALERT 🚨
#Flood reported in Bishaltar, Benighat Rorang Rural Municipality-5, Dhading, Bagmati Province. Stay safe and follow local authorities' instructions. #StaySafe #DisasterAlert"
3,Koshi,Ratuwamai,Flood,Morang,2021-07-01,"Flood at Chaukighat, Ratuwamai Municipality-3","🚨 Urgent Alert 🚨
Flood hits Chaukighat in Ratuwamai Municipality-3, Morang District, Koshi Province. Stay safe and follow local authorities' instructions. #FloodAlert #Morang #Koshi #StaySafe"
6,Gandaki,Vyas,Flood,Tanahu,2021-07-01,"Flood at Shisaghat, Vyas Municipality-6","🚨 Urgent Alert 🚨
Flood reported at Shisaghat, Vyas Municipality-6, Tanahu district, Gandaki province. Stay safe and follow local authorities' instructions. #FloodAlert #Tanahu #Gandaki"
9,Gandaki,Madi,Flood,Kaski,2021-07-01,Flood at Madi Rural Municipality-9,"🚨 #Flood Alert 🚨
🌊 A devastating flood has hit Madi Rural Municipality-9, Kaski District, Gandaki Province. Stay safe and follow local authorities' instructions. #StaySafe #DisasterAlert #MadiFloods"
4,Madhesh,Jagarnathpur,Flood,Parsa,2021-06-30,Flood at Jagarnathpur Rural Municipality-4,"🚨 #DisasterAlert 🚨

🌊 Flood reported in Jagarnathpur Rural Municipality-4, Parsa district, Madhesh province.
📅 Incident Date: 2021-06-30

Stay safe and follow local authorities' instructions. #FloodSafety #Jagarnathpur #Parsa #Madhesh"
4,Madhesh,Gaur,Flood,Rautahat,2021-06-30,"Flood at Tikuliya, Gaur Municipality-4","🚨 Urgent Alert 🚨
Flood hits Tikuliya, Gaur Municipality-4 in Rautahat, Madhesh province. Please stay safe and follow local authorities' instructions. #FloodAlert #StaySafe #Rautahat"
