Ward,Province,Municipality,Hazard,District,Incident on,Title,facebook_status
7,Gandaki,Badigad,Flood,Baglung,8/18/2019,Flood at Badigad Rural Municipality-7,"🚨 Urgent Update 🚨

Flood Alert! 🌊💦

📍 Location: Badigad Rural Municipality-7, Baglung District, Gandaki Province

📆 Incident Date: 8/18/2019

🚧 A devastating flood has hit Badigad Rural Municipality-7, causing widespread damage. Our thoughts are with the affected community. Stay safe and follow the instructions of local authorities. 🙏

#FloodAlert #StaySafe #BadigadRuralMunicipality"
2,Sudurpashchim,Byas,Flood,Darchula,8/18/2019,"Flood at Dumaling, Byas Rural Municipality-2","🚨 Urgent Alert 🚨

Floods have hit Dumaling, Byas Rural Municipality-2 in Sudurpashchim province! 🌊 Stay safe and take necessary precautions. Our thoughts are with everyone affected by this disaster. #FloodAlert #StaySafe #DumalingFloods"
7,Bagmati,Changunarayan,Flood,Bhaktapur,8/17/2019,"Flood at Kharipati, Changunarayan Municipality-7","🚨 Urgent Alert 🚨

Flood Warning at Kharipati, Changunarayan Municipality-7!

🌊 A devastating flood has struck our community on 8/17/2019. Please stay safe and take necessary precautions. 🏠 Seek higher ground immediately! 🚁

📍 Location: Kharipati, Changunarayan Municipality-7, Bhaktapur, Bagmati Province

#StaySafe #FloodAlert #Changunarayan #Bhaktapur"
6,Karnali,Chhayanath Rara,Flood,Mugu,8/17/2019,"Flood at Balai, Chhayanath Rara Municipality-6","🚨 Urgent Alert 🚨

🌊 Flood Warning 🌊

📅 Incident Date: 8/17/2019
📍 Location: Balai, Chhayanath Rara Municipality-6
🏞️ Province: Karnali
🏘️ District: Mugu
🏢 Municipality: Chhayanath Rara
🏢 Ward: 6

Stay safe and take necessary precautions. Keep an eye out for updates. #FloodWarning #StaySafe #Balai #ChhayanathRara"
6,Karnali,Aathbiskot,Flood,Rukum West,8/16/2019,"Flood at Mankabagar, Aathbiskot Municipality-6","🚨 Flood Alert 🚨

A devastating flood has hit Mankabagar in Aathbiskot Municipality-6, Rukum West. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏

#FloodAlert #StaySafe #Mankabagar #Aathbiskot #RukumWest"
2,Sudurpashchim,Swami Kartik,Flood,Bajura,8/15/2019,"Flood at Chudri, Swami Kartik Rural Municipality-2","🚨 Urgent Notice 🚨

Attention residents of Chudri, Swami Kartik Rural Municipality-2! 

⚠️ We regret to inform you that a devastating flood has hit our area. Please take immediate precautions and ensure the safety of your loved ones. 

📅 Incident Date: 8/15/2019
📍 Location: Chudri, Swami Kartik Rural Municipality-2, Bajura District, Sudurpashchim Province

🙏 Our thoughts and prayers are with everyone affected by this natural disaster. Stay strong, and let's support each other in this difficult time. 

#FloodAlert #StaySafe #ChudriStrong"
6,Karnali,Aathbiskot,Flood,Rukum West,8/14/2019,"Flood at Mankabagar, Aathbiskot Municipality-6","🚨 Breaking News 🚨

Mankabagar, in Aathbiskot Municipality-6, Rukum West, is currently experiencing severe flooding! 🌊💔

Let's keep the people of Aathbiskot in our thoughts and prayers during this difficult time. Stay safe and stay informed! 🙏

#FloodAlert #PrayForAathbiskot #StaySafe"
10,Bagmati,Bhumlu,Flood,Kavrepalanchok,8/11/2019,"Flood at Chakhola, Bhumlu Rural Municipality-10","🚨 Urgent Alert 🚨

🌊 Flood at Chakhola, Bhumlu Rural Municipality-10 🌊

We regret to inform you that a severe flood has hit Chakhola in Bhumlu Rural Municipality-10, Kavrepalanchok district, Bagmati province. The incident occurred on 8/11/2019.

Please stay safe and take necessary precautions. Our thoughts are with the affected community. #FloodAlert #StaySafe"
6,Bagmati,Kageshwori Manahora,Flood,Kathmandu,8/11/2019,"Flood at Mulpani, Kageshwori Manahora Municipality-6","🚨 Urgent Notice 🚨

A devastating flood has hit Mulpani, Kageshwori Manahora Municipality-6, Kathmandu. Please exercise caution and stay safe. Our thoughts and prayers go out to all those affected. 🙏

#FloodAlert #StaySafe #MulpaniFlood #KageshworiManahoraMunicipality #Kathmandu"
5,Bagmati,Changunarayan,Flood,Bhaktapur,8/11/2019,"Flood at Khaling , Changunarayan Municipality-5","🚨 Urgent Update 🚨

🌊 Flood Alert! 🌊

Attention residents of Changunarayan Municipality-5, Bhaktapur! There has been a severe flood reported in Khaling. Please stay safe and take necessary precautions. Seek higher ground if needed. Stay tuned for further updates. #FloodAlert #StaySafe #ChangunarayanMunicipality5 #Bhaktapur"
18,Gandaki,Pokhara Lekhnath,Flood,Kaski,8/11/2019,"Flood at Bhakunde , Pokhara Lekhnath Metropolitan City-18","🚨 Urgent Alert 🚨

🌊 Flood at Bhakunde, Pokhara Lekhnath Metropolitan City-18 🌊

⚠️ A devastating flood has hit Bhakunde, Pokhara Lekhnath Metropolitan City-18. Please stay safe and take necessary precautions.

📅 Incident Date: 8/11/2019
📍 Province: Gandaki
📍 District: Kaski
📍 Municipality: Pokhara Lekhnath
📍 Ward: 18

🙏 Our thoughts and prayers are with the affected families. Let's come together to support and help them during this difficult time. #StaySafe #FloodAlert #PrayForBhakunde"
8,Bagmati,Panchkhal,Flood,Kavrepalanchok,8/10/2019,"Flood at Chakhola, Panchkhal Municipality-8","🚨 Urgent Update 🚨

Flood Alert! 🌊

A severe flood has hit Chakhola, Panchkhal Municipality-8 in Kavrepalanchok district, Bagmati province. Please stay safe and take necessary precautions. Our thoughts are with the affected community. 🙏

#FloodAlert #StaySafe #ChakholaFloods #Kavrepalanchok #BagmatiProvince"
1,Bagmati,Balefi,Flood,Sindhupalchok,8/10/2019,"Flood at Sangbote , Balefi Rural Municipality-1","🚨🌊 Flood Alert 🌊🚨

📍 Sangbote, Balefi Rural Municipality-1, Sindhupalchok

⚠️ A devastating flood hit Sangbote, causing widespread damage to the area. Please stay safe and follow the instructions of local authorities.

#FloodAlert #StaySafe #Sangbote #Balefi #Sindhupalchok"
1,Sudurpashchim,Swami Kartik,Flood,Bajura,8/8/2019,"Flood at kamati, Swami Kartik Rural Municipality-1","🚨 Urgent Alert 🚨

🌊 Flood at Kamati, Swami Kartik Rural Municipality-1 🌊

Attention residents of Swami Kartik Rural Municipality-1 in Bajura district, Sudurpashchim province! 

We regret to inform you that a severe flood has occurred in Kamati area. Please take immediate precautions and ensure the safety of yourself and your loved ones. 

Stay tuned for further updates and instructions from the local authorities. 🙏

#FloodAlert #StaySafe #SwamiKartikRuralMunicipality #Bajura #Sudurpashchim"
9,Bagmati,Kageshwori Manahora,Flood,Kathmandu,8/5/2019,"Flood at snao bhyrang , Kageshwori Manahora Municipality-9","🚨 Urgent Notice 🚨

Attention residents of Kageshwori Manahora Municipality-9 in Kathmandu! 

We regret to inform you that a severe flood has hit the area of Snao Bhyrang. Please take immediate precautions and stay safe. 

Date of Incident: 8/5/2019
Province: Bagmati
District: Kathmandu
Municipality: Kageshwori Manahora
Ward: 9

Stay tuned for further updates. Our thoughts are with everyone affected by this unfortunate event. 🙏 #StaySafe #FloodAlert"
5,Bagmati,Nagarjun,Flood,Kathmandu,8/5/2019,Flood at Nagarjun Municipality-5,"🚨 Urgent Alert 🚨

🌊 Flood Warning 🌊

Attention residents of Nagarjun Municipality-5, Kathmandu!

A devastating flood has hit your area. Please take immediate precautions to ensure your safety. Stay tuned for further updates and follow the instructions of local authorities.

#FloodAlert #NagarjunMunicipality5 #StaySafe"
14,Karnali,Aathbiskot,Flood,Rukum West,8/2/2019,Flood at Aathbiskot Municipality-14,"🚨 Urgent Notice 🚨

🌊 Flood Alert 🌊

Attention residents of Aathbiskot Municipality-14, Rukum West! 

We regret to inform you that a severe flood has occurred in your area. Please take immediate precautions and ensure the safety of yourself and your loved ones. 

Stay tuned for further updates and stay safe! 🙏

#FloodAlert #AathbiskotMunicipality #StaySafe"
10,Gandaki,Annapurna,Flood,Kaski,7/29/2019,"Flood at Imalekuna, Annapurna Rural Municipality-10","🚨 Urgent Alert 🚨

⚠️ Flood Warning ⚠️

🌊 A severe flood has occurred in Imalekuna, Annapurna Rural Municipality-10, Kaski district, Gandaki province. 

📅 Incident Date: 7/29/2019

🏞️ Stay safe and take necessary precautions if you are in the affected area. 

#FloodWarning #StaySafe #Imalekuna #AnnapurnaRuralMunicipality10 #KaskiDistrict #GandakiProvince"
5,Lumbini,Gaumukhi,Flood,Pyuthan,7/27/2019,"Flood at Thulasim, Gaumukhi Rural Municipality-5","🚨 Urgent Announcement 🚨

Attention everyone! A devastating flood has occurred at Thulasim, Gaumukhi Rural Municipality-5, Pyuthan District, Lumbini Province. Please stay safe and avoid the affected area. Our thoughts and prayers are with the people of Gaumukhi Ward-5. #StaySafe #FloodAlert #GaumukhiRuralMunicipality"
3,Koshi,Khandbari,Flood,Sankhuwasabha,7/26/2019,"Flood at Plamitoll, Khandbari Municipality-3","🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

Attention everyone in the Koshi Province!

A devastating flood has struck Plamitoll in Khandbari Municipality-3, Sankhuwasabha District. Please stay safe and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #Khandbari #Sankhuwasabha #Koshi"
4,Koshi,Jahada,Flood,Morang,7/26/2019,Flood at Jahada Rural Municipality-4,"🚨 Urgent Alert 🚨

🌊 Flood at Jahada Rural Municipality-4 🌊

⚠️ A devastating flood has struck Jahada Rural Municipality-4 in Morang District, Koshi Province. Our thoughts and prayers go out to all those affected by this natural disaster.

📅 Incident Date: 7/26/2019
📍 Location: Jahada, Morang

Please stay tuned for more updates and let's come together to support the affected community during this difficult time. 🙏 #FloodRelief #JahadaStrong"
5,Madhesh,Agnisair Krishna Savaran,Flood,Saptari,7/25/2019,Flood at Agnisair Krishna Savaran Rural Municipality-5,"🌊 Flood Alert! 🌊

🚨 A devastating flood has hit Agnisair Krishna Savaran Rural Municipality-5 in Saptari district, Madhesh province. 🚨

📅 Incident Date: 7/25/2019
📍 Location: Agnisair Krishna Savaran Rural Municipality-5

Please stay safe and take necessary precautions. Our thoughts are with the affected community. 🙏 #FloodAlert #StaySafe #Madhesh #Saptari"
1,Koshi,Gauradhaha,Flood,Jhapa,7/25/2019,"Flood at Geuiya Khola, Gauradhaha Municipality-1","🚨 Urgent Notice 🚨

⚠️ Flood Alert ⚠️

We regret to inform you that a severe flood has occurred at Geuiya Khola in Gauradhaha Municipality-1, Jhapa District, Koshi Province. The incident took place on 7/25/2019. 

📢 Please take necessary precautions and stay safe. 🙏

#FloodAlert #StaySafe #GauradhahaMunicipality #JhapaDistrict #KoshiProvince"
1,Koshi,Jhapa,Flood,Jhapa,7/25/2019,"Flood at Maikhola, Jhapa Rural Municipality-1","🌊 Flood Alert 🌊

🚨 A severe flood has hit Maikhola in Jhapa Rural Municipality-1, Jhapa District, Koshi Province. 🚨

📅 Incident Date: 7/25/2019
📍 Location: Maikhola, Jhapa Rural Municipality-1, Jhapa District
🏢 Municipality: Jhapa
🏘️ Ward: 1

Please stay safe and follow the instructions from local authorities. Our thoughts are with the affected community. 🙏

#FloodAlert #StaySafe #Jhapa #Koshi"
5,Koshi,Bhadrapur,Flood,Jhapa,7/24/2019,"Flood at Mechi Bridge, Bhadrapur Municipality-5","🚨 Urgent Notice 🚨

Attention residents of Bhadrapur Municipality-5 in Jhapa district! 

⚠️ Flood Alert ⚠️

A severe flood has hit Mechi Bridge today, 7/24/2019. Please take immediate precautions and stay safe. 

📍 Location: Mechi Bridge, Bhadrapur Municipality-5, Jhapa district, Koshi Province

🚧 Authorities are working to ensure your safety. Please follow their instructions and avoid unnecessary travel. Stay indoors if possible.

📢 Spread the word to your friends and family in the area. Let's support each other during this challenging time.

#FloodAlert #SafetyFirst #StaySafe #BhadrapurMunicipality #JhapaDistrict"
1,Madhesh,Rupani,Flood,Saptari,7/24/2019,Flood at Rupani Rural Municipality-1,"🚨 Urgent Alert 🚨
A devastating flood has hit Rupani Rural Municipality-1 in Saptari District, Madhesh Province. Stay safe and take necessary precautions. Our thoughts are with the affected residents. #FloodAlert #StaySafe #RupaniRuralMunicipality"
12,Lumbini,Butwal,Flood,Rupandehi,7/24/2019,"Flood at Dhawaha, Butwal Submetropolitan City-12","🚨 Urgent Alert 🚨

🌊 Flood at Dhawaha, Butwal Submetropolitan City-12 🌊

📅 Incident Date: 7/24/2019
📍 Province: Lumbini
🏞️ District: Rupandehi
🏢 Municipality: Butwal
🏘️ Ward: 12

⚠️ Please stay safe and take necessary precautions. We are closely monitoring the situation and will provide updates as soon as possible. #StaySafe #FloodAlert"
9,Karnali,Birendranagar,Flood,Surkhet,7/24/2019,Flood at Birendranagar Municipality-9,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

Attention residents of Birendranagar Municipality-9 in Surkhet district! Please be aware that a severe flood has occurred in your area today. Stay safe and follow the instructions of local authorities. We are closely monitoring the situation and will provide updates as soon as possible. #FloodAlert #StaySafe #BirendranagarMunicipality9"
6,Gandaki,Dordi,Flood,Lamjung,7/24/2019,Flood at Dordi Rural Municipality-6,"🚨 Urgent Alert 🚨

Flood hits Dordi Rural Municipality-6 in Lamjung district, Gandaki Province. Stay safe and take necessary precautions. #FloodAlert #StaySafe #DordiFlood"
3,Sudurpashchim,Masta,Flood,Bajhang,7/23/2019,Flood at Masta Rural Municipality-3,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

We regret to inform you that Masta Rural Municipality-3 in Bajhang District, Sudurpashchim Province, has been hit by a devastating flood. 

📅 Incident Date: 7/23/2019

Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #FloodAlert #StaySafe #MastaRuralMunicipality"
4,Bagmati,Golanjor,Flood,Sindhuli,7/22/2019,"Flood at Kirate, Golanjor Rural Municipality-4","🚨 Urgent Alert 🚨

We regret to inform you that Kirate, Golanjor Rural Municipality-4 in Sindhuli district, Bagmati province, has been hit by a devastating flood today. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #StaySafe #SindhuliFlood #PrayForKirate"
14,Bagmati,Dudhouli,Flood,Sindhuli,7/22/2019,"Flood at Lakhu, Dudhouli Municipality-14","🚨 Urgent Update 🚨

Attention residents of Dudhouli Municipality-14 in Sindhuli district! 

We regret to inform you that a severe flood has hit the beautiful Lakhu area. Stay safe and take necessary precautions. Our thoughts and prayers are with all the affected families. #StaySafe #FloodAlert #PrayersForLakhu"
7,Bagmati,Kamalamai,Flood,Sindhuli,7/21/2019,Flood at Kamalamai Municipality-7,"🚨 Urgent Alert 🚨

🌊 Flood at Kamalamai Municipality-7 🌊

📅 Incident Date: 7/21/2019
📍 Province: Bagmati
🏞️ District: Sindhuli
🏙️ Municipality: Kamalamai
🏢 Ward: 7

Stay safe, everyone! Seek higher ground and follow local authorities' instructions. Our thoughts are with the affected community. #Floods #StaySafe #KamalamaiMunicipality7"
4,Karnali,Aathbiskot,Flood,Rukum West,7/19/2019,Flood at Aathbiskot Municipality-4,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

We regret to inform you that Aathbiskot Municipality-4 in Rukum West, Karnali Province, has been hit by a devastating flood today. Please take necessary precautions and stay safe. Our thoughts and prayers are with the affected residents. 🙏 #FloodAlert #StaySafe #Aathbiskot #RukumWest #Karnali"
15,Madhesh,Siraha,Flood,Siraha,7/17/2019,"Flood at Budhaira, Siraha Municipality-15","🚨 Urgent Update 🚨

There has been a devastating flood at Budhaira in Siraha Municipality-15, Madhesh Province. Our thoughts are with the affected residents. Stay safe and please follow the instructions from the authorities. #Floods #Siraha #StaySafe"
2,Madhesh,Katahariya,Flood,Rautahat,7/16/2019,"Flood at Jamuneya, Katahariya Municipality-2","🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

A severe flood has hit Jamuneya in Katahariya Municipality-2, Rautahat District, Madhesh Province. Stay safe and take necessary precautions. 🙏

#FloodAlert #StaySafe #RautahatDistrict #MadheshProvince"
3,Bagmati,Indrasarowar,Flood,Makwanpur,7/16/2019,"Flood at Aduwa, Indrasarowar Rural Municipality-3","🚨 Urgent Notice 🚨

Attention residents of Aduwa, Indrasarowar Rural Municipality-3! 

We regret to inform you that a severe flood has occurred in your area. Please take immediate precautions and ensure your safety. Stay tuned for further updates and follow the instructions of local authorities.

#FloodAlert #StaySafe #AduwaFloods #IndrasarowarRuralMunicipality3"
4,Koshi,Sunwarshi,Flood,Morang,7/16/2019,"Flood at Surat, Sunwarshi Municipality-4","🚨 Urgent Announcement 🚨

Attention residents of Surat, Sunwarshi Municipality-4! 
We regret to inform you that a severe flood has hit our area. Please take immediate precautions and stay safe. Our thoughts are with everyone affected by this natural disaster.

#FloodAlert #StaySafe #SuratFlood #SunwarshiMunicipality4 #MorangDistrict"
4,Koshi,Biratnagar,Flood,Morang,7/16/2019,Flood at Biratnagar Metropolitan City-4,"🚨 Urgent Alert 🚨

🌊 Flood Hits Biratnagar Metropolitan City-4 🌊

📅 Incident Date: 7/16/2019
📍 Province: Koshi
🏢 District: Morang
🏙️ Municipality: Biratnagar
🏞️ Ward: 4

Stay safe, everyone! Seek higher ground and take necessary precautions. Our thoughts are with the affected community. 💔 #FloodAlert #StaySafe #Biratnagar #PrayForMorang"
28,Madhesh,Birgunj,Flood,Parsa,7/16/2019,Flood at Birgunj Metropolitan City-28,"🚨 Urgent Notice 🚨

Attention residents of Birgunj Metropolitan City-28 in Parsa district, Madhesh province!

We regret to inform you that a severe flood has hit our area today. Please take immediate precautions and ensure the safety of yourselves and your loved ones. Stay tuned for further updates from the local authorities.

#StaySafe #FloodAlert #BirgunjMetropolitanCity"
8,Sudurpashchim,Mahakali_Kanchanpur,Flood,Kanchanpur,7/16/2019,"Flood at Bajhangitoll, Mahakali_Kanchanpur Municipality-8","🚨 Urgent Alert 🚨

🌊 Flood at Bajhangitoll, Mahakali_Kanchanpur Municipality-8 🌊

📅 Incident Date: 7/16/2019
📍 Province: Sudurpashchim
🏞️ District: Kanchanpur
🏙️ Municipality: Mahakali_Kanchanpur
🏢 Ward: 8

Stay safe and take necessary precautions. Our thoughts are with the affected community. #Floods #StaySafe #Bajhangitoll"
13,Koshi,Mechinagar,Flood,Jhapa,7/15/2019,"Flood at Phulbasa, Mechinagar Municipality-13","🚨 Urgent Alert! 🚨 
Floods have hit Phulbasa in Mechinagar Municipality-13, Jhapa district, Koshi province. Stay safe and take necessary precautions. #FloodAlert #StaySafe #PhulbasaFloods"
4,Madhesh,Dhanusadham,Flood,Dhanusa,7/15/2019,Flood at Dhanusadham Municipality-4,"🚨 Urgent Alert 🚨
Flood hits Dhanusadham Municipality-4 in Madhesh! Stay safe and take necessary precautions. #FloodAlert #Dhanusadham #StaySafe"
2,Bagmati,Benighat Rorang,Flood,Dhading,7/15/2019,Flood at Benighat Rorang Rural Municipality-2,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

Attention residents of Benighat Rorang Rural Municipality-2 in Dhading district, Bagmati province! 

We regret to inform you that a severe flood has occurred in your area today. Please take immediate precautionary measures to ensure your safety and the safety of your loved ones. 

Stay tuned for further updates and instructions from the local authorities. 

Please share this information with your friends and neighbors. Stay safe, everyone! 💙

#FloodAlert #BenighatRorang #Dhading #Bagmati #StaySafe"
8,Koshi,Rautamai,Flood,Udayapur,7/15/2019,Flood at Rautamai Rural Municipality-8,"🚨 Urgent Announcement 🚨

Attention residents of Rautamai Rural Municipality-8, Udayapur! 

We regret to inform you that a devastating flood has occurred in our area. Please stay safe and take immediate precautions. Seek higher ground and avoid flooded areas. 

Stay tuned for updates and follow the instructions of local authorities. Let's come together as a community and support each other during this difficult time.

#FloodAlert #StaySafe #Rautamai #Udayapur #Koshi"
1,Koshi,Chulachuli,Flood,Ilam,7/15/2019,Flood at Chulachuli Rural Municipality-1,"🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

Attention residents of Chulachuli Rural Municipality-1 in Ilam district, Koshi province! 

We regret to inform you that a severe flood has occurred in your area today, July 15, 2019. Please take immediate precautions and ensure the safety of yourself and your loved ones. 

Stay tuned for further updates and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #Chulachuli #StaySafe #Koshi #Ilam"
2,Koshi,Duhabi,Flood,Sunsari,7/15/2019,"Flood at Tutha, Duhabi Municipality-2","🚨 Urgent Notice 🚨

Flood Alert! 🌊🌊

A severe flood has hit Tutha, Duhabi Municipality-2 in Sunsari district, Koshi Province. Please stay safe and take necessary precautions. 🙏

#FloodAlert #StaySafe #DuhabiMunicipality"
1,Madhesh,Janaknandani,Flood,Dhanusa,7/15/2019,"Flood at Inuwara, Janaknandani Rural Municipality-1","🚨 Urgent Alert 🚨

🌊 Flood at Inuwara, Janaknandani Rural Municipality-1 🌊

Stay safe everyone! A severe flood has hit Inuwara, Janaknandani Rural Municipality-1 in Dhanusa district of Madhesh province. Please take necessary precautions and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #Janaknandani #Dhanusa #Madhesh"
1,Madhesh,Mukhiyapatti Musaharmiya,Flood,Dhanusa,7/15/2019,"Flood at Musharhaneya, Mukhiyapatti Musaharmiya Rural Municipality-1","🚨 Urgent Alert 🚨

🌊 Flood Warning 🌊

Attention residents of Musharhaneya, Mukhiyapatti Musaharmiya Rural Municipality-1! 

We regret to inform you that a severe flood has occurred in your area. Please take immediate precautionary measures to ensure your safety and the safety of your loved ones. 

📅 Incident Date: 7/15/2019
📍 Province: Madhesh
🏢 District: Dhanusa
🏘️ Municipality: Mukhiyapatti Musaharmiya
🏠 Ward: 1

Stay tuned for further updates and follow the instructions of local authorities. Our thoughts are with you during this difficult time. Stay safe! 💙

#FloodAlert #StaySafe #Musharhaneya #Madhesh #Dhanusa"
1,Madhesh,Rajpur,Flood,Rautahat,7/15/2019,Flood at Rajpur Municipality-1,"🚨 Flood Alert 🚨

Attention residents of Rajpur Municipality-1 in Rautahat district, Madhesh province! 

We regret to inform you that a severe flood has hit our area. Please take immediate precautions and ensure the safety of your loved ones. Stay tuned for further updates and follow the instructions of local authorities.

#FloodAlert #StaySafe #RajpurMunicipality1 #Rautahat #Madhesh"
8,Madhesh,Rajdevi,Flood,Rautahat,7/15/2019,Flood at Rajdevi Municipality-8,"🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

Attention residents of Rajdevi Municipality-8 in Rautahat district, Madhesh Province! 

We regret to inform you that a severe flood has hit your area. Please take necessary precautions to ensure your safety. 

Stay tuned for further updates. 🙏

#FloodAlert #StaySafe #RajdeviMunicipality8 #Rautahat #Madhesh"
4,Madhesh,Brindaban,Flood,Rautahat,7/15/2019,Flood at Brindaban Municipality-4,"🚨 Urgent Alert: Flood at Brindaban Municipality-4 🚨

🌊 A devastating flood has hit Brindaban Municipality-4 in Rautahat district, Madhesh province. 🌊

📅 Incident Date: 7/15/2019
📍 Location: Brindaban Municipality-4, Rautahat

🚧 Please stay safe and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #BrindabanMunicipality4 #Rautahat #Madhesh"
1,Madhesh,Gadhimai,Flood,Rautahat,7/15/2019,Flood at Gadhimai Municipality-1,"🚨 Urgent Alert 🚨

🌊 Flood at Gadhimai Municipality-1 🌊

We regret to inform you that Gadhimai Municipality-1 in Rautahat District, Madhesh Province, has been hit by a devastating flood on 7/15/2019. 

Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #GadhimaiFlood #StaySafe"
8,Madhesh,Rajdevi,Flood,Rautahat,7/15/2019,Flood at Rajdevi Municipality-8,"🚨 Urgent Alert 🚨

🌊 Flood at Rajdevi Municipality-8 🌊

📅 Incident Date: 7/15/2019
📍 Province: Madhesh
🏞 District: Rautahat
🏢 Municipality: Rajdevi
🌆 Ward: 8

Please stay safe and take necessary precautions. Keep an eye on official announcements for further instructions. #StaySafe #FloodAlert"
5,Madhesh,Kaudena,Flood,Sarlahi,7/15/2019,Flood at Kaudena Rural Municipality-5,"🚨 Urgent Alert 🚨

🌊 Flood at Kaudena Rural Municipality-5 🌊

📅 Incident Date: 7/15/2019
📍 Province: Madhesh
🏞️ District: Sarlahi
🏘️ Municipality: Kaudena
🏢 Ward: 5

🚧 Stay safe, everyone! Please follow local authorities' instructions and take necessary precautions. Our thoughts are with the affected community. 🙏

#Flood #Kaudena #Sarlahi #StaySafe"
3,Koshi,Makalu,Flood,Sankhuwasabha,7/15/2019,Flood at Makalu Rural Municipality-3,"🚨 Urgent Update: Flood at Makalu Rural Municipality-3 🚨

Attention everyone! There has been a severe flood incident reported at Makalu Rural Municipality-3 in Sankhuwasabha district, Koshi Province. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #StaySafe #FloodAlert 🌊"
1,Madhesh,Sonama,Flood,Mahottari,7/15/2019,Flood at Sonama Rural Municipality-1,"🚨 Flood Alert 🚨

🌊 A devastating flood has hit Sonama Rural Municipality-1 in Mahottari district. 🌊

📅 Incident Date: 7/15/2019
📍 Location: Sonama, Mahottari, Madhesh

Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected communities. 🙏 #FloodAlert #StaySafe"
2,Koshi,Harinagara,Flood,Sunsari,7/14/2019,"Flood at Bhutaha, Harinagara Rural Municipality-2","🚨 Urgent Notice 🚨

Attention everyone in Bhutaha, Harinagara Rural Municipality-2! 

We regret to inform you that a severe flood has hit our area. Please take immediate precautions and ensure the safety of your loved ones. Stay tuned for further updates and stay safe!

#FloodAlert #StaySafe #Bhutaha #HarinagaraRuralMunicipality2 #Sunsari"
4,Madhesh,Durga Bhagwati,Flood,Rautahat,7/14/2019,Flood at Durga Bhagwati Rural Municipality-4,"🚨 Urgent Announcement 🚨

We regret to inform you that Durga Bhagwati Rural Municipality-4 in Rautahat District, Madhesh Province has been hit by a devastating flood. The incident occurred on 7/14/2019. Please stay safe and take necessary precautions. Our thoughts and prayers are with the affected residents. #StaySafe #PrayForDurgaBhagwati #FloodAlert"
1,Madhesh,Ishanath,Flood,Rautahat,7/14/2019,Flood at Ishanath Municipality-1,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

We regret to inform you that Ishanath Municipality-1 in Rautahat district, Madhesh province, has been hit by a severe flood. The incident occurred on 7/14/2019. 

Please stay safe and follow the instructions provided by local authorities. Our thoughts and prayers are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #PrayForIshanathMunicipality"
3,Madhesh,Gaur,Flood,Rautahat,7/14/2019,"Flood at F, Gaur Municipality-3","🚨 Urgent Notice! 🚨

Attention residents of Gaur Municipality-3 in Rautahat district! 🌊

We regret to inform you that a severe flood has occurred in your area. Please stay alert and take necessary precautions to ensure your safety. Seek higher ground and avoid flooded areas. 🏞️

For more information and assistance, please contact the local authorities. Stay safe, everyone! 💙

#FloodAlert #SafetyFirst #GaurMunicipality #Rautahat #Madhesh"
6,Koshi,Ratuwamai,Flood,Morang,7/14/2019,Flood at Ratuwamai Municipality-6,"🌊 Flood Alert 🌊

📍 Ratuwamai Municipality-6, Morang, Koshi Province

🚨 A severe flood hit our community on 7/14/2019. Stay safe and take necessary precautions.

#FloodAlert #Ratuwamai #StaySafe"
4,Koshi,Chaudandigadhi,Flood,Udayapur,7/14/2019,Flood at Chaudandigadhi Municipality-4,"🚨 Urgent Notice 🚨

Attention residents of Chaudandigadhi Municipality-4! 

We regret to inform you that a severe flood has occurred in our area. Please take immediate precautions and ensure the safety of yourself and your loved ones. Stay tuned for updates on the situation.

🌊 Incident: Flood
📅 Date: 7/14/2019
📍 Province: Koshi
📍 District: Udayapur
📍 Municipality: Chaudandigadhi
📍 Ward: 4

Stay safe and stay strong! Our thoughts are with everyone affected by this natural disaster. 💔 #ChaudandigadhiFlood #StaySafe"
