Ward,Province,Municipality,Hazard,District,Incident on,Title,instagram_status
7,Lumbini,Tulsipur,Flood,Dang,8/5/2018,Flood at Tulsipur Submetropolitan City-7,"🌊 Flood Alert 🌊
📍 Tulsipur Submetropolitan City-7, Dang, Lumbini 📍

Stay safe, Tulsipur! 🙏
A severe flood hit our beloved town on 8/5/2018. Please take necessary precautions and stay indoors until further notice. 🚫

#FloodAlert #TulsipurFlood #StaySafe #DangDistrict #LumbiniProvince"
12,Bagmati,Kathmandu,Flood,Kathmandu,8/5/2018,Flood at Kathmandu Metropolitan City-12,"🌊 Flood Alert 🌊
Kathmandu Metropolitan City-12 in Bagmati Province, Kathmandu District is currently experiencing severe flooding. Stay safe and take necessary precautions. #FloodAlert #KathmanduFloods #StaySafe"
1,Gandaki,Devghat,Flood,Tanahu,8/1/2018,Flood at Devghat Rural Municipality-1,"🚨 Urgent Update 🚨

🌊 Devastating Flood at Devghat Rural Municipality-1! 🌊

💔 Our hearts go out to the residents affected by the recent flood in Devghat Rural Municipality-1, Tanahu district, Gandaki province. 💔

📅 Incident Date: 8/1/2018
📍 Location: Devghat Rural Municipality-1

🙏 Let's come together as a community to support those in need during this difficult time. Stay safe and stay strong! 🙏

#FloodRelief #DevghatFlood #SupportDevghat #StaySafe #TanahuDistrict"
5,Sudurpashchim,Ramaroshan,Flood,Achham,8/1/2018,Flood at Ramaroshan Rural Municipality-5,"🚨 Flood Alert 🚨
Title: Flood at Ramaroshan Rural Municipality-5

🌊 A devastating flood hit Ramaroshan Rural Municipality-5 in Achham district, Sudurpashchim Province. The incident occurred on 8/1/2018, causing immense damage to the area. Our thoughts and prayers go out to all those affected. Stay safe, Ramaroshan! 💔 #Floods #NaturalDisaster #StaySafeRamaroshan"
1,Koshi,Chainpur,Flood,Sankhuwasabha,7/20/2018,Flood at Chainpur Municipality-1,"🌊 Flood Alert! 🌊

📍 Chainpur Municipality-1, Sankhuwasabha, Koshi Province

📅 Incident Date: 7/20/2018

Stay safe, Chainpur! Our thoughts are with everyone affected by the devastating flood. 💔 #FloodAlert #StaySafe #ChainpurMunicipality #Sankhuwasabha #KoshiProvince"
12,Gandaki,Gorkha,Flood,Gorkha,7/18/2018,Flood at Gorkha Municipality-12,"🌊 Flood Alert! 🌊
📍 Gorkha Municipality-12, Gandaki Province 🏔️
📅 Incident Date: 7/18/2018 🌧️

Stay safe, Gorkha! Heavy flooding has hit Ward 12, causing widespread damage. Our thoughts are with the affected communities. 🙏 #Flood #Gorkha #NepalStrong"
2,Bagmati,Bhotekoshi,Flood,Sindhupalchok,7/16/2018,Flood at Bhotekoshi Rural Municipality-2,"🚨 Urgent Alert 🚨

🌊 Flood at Bhotekoshi Rural Municipality-2 🌊

📅 Incident Date: 7/16/2018
📍 Province: Bagmati
🏞️ District: Sindhupalchok
🏙️ Municipality: Bhotekoshi
🏘️ Ward: 2

Stay safe and take necessary precautions! Our thoughts are with everyone affected by this devastating flood. 💔 #FloodAlert #StaySafe #PrayersForBhotekoshi"
30,Gandaki,Pokhara Lekhnath,Flood,Kaski,7/16/2018,Flood at Pokhara Lekhnath Metropolitan City-30,"🚨 Urgent Update! 🚨

Title: Flood at Pokhara Lekhnath Metropolitan City-30

🌊 A devastating flood has hit Pokhara Lekhnath Metropolitan City-30, Kaski District, Gandaki Province. 🌊

📅 Incident Date: 7/16/2018
📍 Location: Ward 30, Pokhara Lekhnath

Please stay safe and follow the instructions given by local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #PrayersForPokharaLekhnath"
9,Koshi,Sunkoshi,Flood,Okhaldhunga,7/14/2018,Flood at Sunkoshi Rural Municipality-9,"🚨 Urgent Alert! 🚨
Title: Flood at Sunkoshi Rural Municipality-9
🌊 Hazard: Flood
📅 Incident on: 7/14/2018
📍 Province: Koshi
🏞️ District: Okhaldhunga
🏙️ Municipality: Sunkoshi
🏘️ Ward: 9

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #FloodAlert #StaySafe #Sunkoshi #Okhaldhunga"
5,Madhesh,Tilathi Koiladi,Flood,Saptari,7/13/2018,Flood at Tilathi Koiladi Rural Municipality-5,"🌊 Flood Alert! 🌊
📍 Tilathi Koiladi Rural Municipality-5, Saptari 📍
📅 Incident Date: 7/13/2018 📅
Stay safe, everyone! Take necessary precautions and stay updated with local authorities. 🙏 #FloodAlert #TilathiKoiladi #StaySafe #MadheshStrong"
32,Bagmati,Kathmandu,Flood,Kathmandu,7/12/2018,Flood at Kathmandu Metropolitan City-32,"🌊 Flood Alert 🌊 

📍 Kathmandu Metropolitan City-32, Kathmandu

📅 Incident Date: 7/12/2018

🌍 Province: Bagmati

Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected by the flood. 🙏 #FloodAlert #Kathmandu #StaySafe"
4,Lumbini,Sarumarani,Flood,Pyuthan,7/7/2018,Flood at Sarumarani Rural Municipality-4,"🌊 Flood Alert 🌊

📍 Sarumarani Rural Municipality-4, Pyuthan, Lumbini 🇳🇵

📅 Incident Date: 7/7/2018

Stay safe and be prepared for potential flooding in Sarumarani Rural Municipality-4. Take necessary precautions and stay tuned for updates.

#FloodAlert #StaySafe #SarumaraniRuralMunicipality #Pyuthan #Lumbini"
8,Koshi,Inaruwa,Flood,Sunsari,7/6/2018,Flood at Inaruwa Municipality-8,"🚨 Urgent Update 🚨

🌊 Flood Alert in Inaruwa Municipality-8, Sunsari, Koshi Province! 🌊

📅 Incident Date: 7/6/2018

🚧 Due to heavy rainfall, Inaruwa Municipality-8 is facing severe flooding. Residents are advised to take immediate precautions and move to higher ground for safety.

💔 Our thoughts are with everyone affected by this natural disaster. Stay safe and stay strong, Inaruwa!

#FloodAlert #InaruwaMunicipality #StaySafe #PrayForInaruwa"
6,Koshi,Gauradhaha,Flood,Jhapa,7/5/2018,Flood at Gauradhaha Municipality-6,"🌊 Flood Alert 🌊

📍 Gauradhaha Municipality-6, Jhapa, Koshi Province

📅 Incident on: 7/5/2018

Stay safe and vigilant as floodwaters continue to rise in Gauradhaha Municipality-6. Take necessary precautions and follow local authorities' guidance. Our thoughts are with everyone affected by this natural disaster. 🙏

#FloodAlert #StaySafe #GauradhahaMunicipality6 #Jhapa #KoshiProvince"
7,Koshi,Itahari,Flood,Sunsari,7/5/2018,Flood at Itahari Submetropolitan City-7,"🌊 Flood Alert! 🌊 
📍 Itahari Submetropolitan City-7, Sunsari, Koshi Province
📅 Incident Date: 7/5/2018

A devastating flood has hit Ward 7 of Itahari, causing widespread damage and displacement. Our thoughts are with the affected families and communities. Stay safe and stay strong! 💙 #FloodAlert #ItahariFlood #StaySafe"
3,Koshi,Barah,Flood,Sunsari,7/5/2018,Flood at Barah Municipality-3,"🌊 Flood Alert 🌊

📍 Barah Municipality-3, Sunsari
📅 Incident on: 7/5/2018
🏞️ Province: Koshi

Stay safe, everyone! Heavy flooding reported in Barah Municipality-3, Sunsari. Take necessary precautions and stay updated with local authorities. Our thoughts are with everyone affected. #FloodAlert #StaySafe #BarahMunicipality #Sunsari"
7,Koshi,Jahada,Flood,Morang,7/5/2018,Flood at Jahada Rural Municipality-7,"🌊 Flood Alert! 🌊

📍 Jahada Rural Municipality-7, Morang, Koshi Province

📅 Incident Date: 7/5/2018

Stay safe, Jahada! Due to heavy flooding in Ward 7, please take necessary precautions and stay updated with local authorities. Our thoughts are with everyone affected. #StaySafe #FloodAlert #JahadaStrong"
3,Madhesh,Haripur,Flood,Sarlahi,7/3/2018,Flood at Haripur Municipality-3,"🌊 Flood Alert 🌊
💔 Haripur Municipality-3, Sarlahi District 💔

📅 Incident on: 7/3/2018
📍 Province: Madhesh

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #FloodAlert #SarlahiFloods #StaySafe"
6,Madhesh,Dhankaul,Flood,Sarlahi,7/3/2018,Flood at Dhankaul Rural Municipality-6,"🌊 Flood Alert 🌊

📍 Dhankaul Rural Municipality-6, Sarlahi, Madhesh 📍

Stay safe, everyone! A flood has hit Dhankaul Rural Municipality-6. Please take necessary precautions and stay away from affected areas. 🚧

#FloodAlert #StaySafe #Dhankaul #Sarlahi #Madhesh #Nepal"
7,Lumbini,Madhuwan,Flood,Bardiya,7/2/2018,Flood at Madhuwan Municipality-7,"🌊 Flood Alert 🌊
A devastating flood hit Madhuwan Municipality-7 in Bardiya, Lumbini Province on 7/2/2018. Stay safe and take necessary precautions. 🙏 #FloodAlert #StaySafe #MadhuwanMunicipality"
3,Lumbini,Bardaghat,Flood,Nawalparasi West,7/2/2018,Flood at Bardaghat Municipality-3,"🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

📍 Bardaghat Municipality-3, Lumbini Province

📅 Incident Date: 7/2/2018

🚧 Stay cautious and safe, as floodwaters continue to rise in Bardaghat Municipality-3. Seek higher ground and follow local authorities' instructions.

#FloodAlert #StaySafe #BardaghatMunicipality3 #LumbiniProvince"
5,Madhesh,Thori,Flood,Parsa,7/2/2018,Flood at Thori Rural Municipality-5,"🌊🚧 Flood Alert 🚧🌊

📍 Thori Rural Municipality-5, Parsa, Madhesh 🌾

On 7/2/2018, Thori experienced severe flooding, causing damage to homes and infrastructure. Our thoughts are with the affected residents. Stay safe and follow local authorities' instructions. 💙 #FloodAlert #StaySafe #ThoriStrong"
11,Koshi,Triyuga,Flood,Udayapur,7/2/2018,Flood at Triyuga Municipality-11,"🌊 Flood Alert 🌊
Stay safe, Triyuga! 🙏
Floods have hit Triyuga Municipality-11 in Udayapur district, Koshi province.
Please take necessary precautions and stay tuned for updates. 🚧#FloodAlert #StaySafe #TriyugaMunicipality11 #Udayapur #Koshi"
10,Madhesh,Jitpur Simara,Flood,Bara,7/2/2018,Flood at Jitpur Simara Submetropolitan City-10,"🌊 Flood Alert 🌊

📍 Jitpur Simara Submetropolitan City-10, Bara, Madhesh 📍

📅 Incident Date: 7/2/2018

Stay safe, everyone! Heavy flooding has hit Jitpur Simara Submetropolitan City-10 in Bara district. Our thoughts are with the affected residents. 💔💦

#FloodAlert #JitpurSimara #Bara #Madhesh #StaySafe"
9,Lumbini,Rajapur,Flood,Bardiya,7/2/2018,Flood at Rajapur Municipality-9,"🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

📍 Rajapur Municipality-9, Bardiya, Lumbini

⚠️ A devastating flood has hit Rajapur Municipality-9, causing widespread damage and displacement. 

📅 Incident Date: 7/2/2018

🆘 Immediate assistance is required for the affected residents. Let's come together and extend our support during this difficult time. 

#FloodAlert #EmergencyResponse #RajapurMunicipality #Bardiya #Lumbini"
5,Lumbini,Sarawal,Flood,Nawalparasi West,7/2/2018,Flood at Sarawal Rural Municipality-5,"🌊 Flood Update 🌊

📍 Sarawal Rural Municipality-5, Nawalparasi West, Lumbini

We regret to inform you that Sarawal Rural Municipality-5 has been affected by a devastating flood. Our thoughts and prayers are with the affected families.

Stay tuned for further updates and information on how you can help. 🙏🏼

#FloodRelief #NawalparasiWest #SarawalRuralMunicipality5 #StayStrong"
7,Lumbini,Sarawal,Flood,Nawalparasi West,7/2/2018,Flood at Sarawal Rural Municipality-7,"🌊 Flood Alert 🌊

📍 Sarawal Rural Municipality-7, Nawalparasi West, Lumbini 🇳🇵

📆 Incident Date: 7/2/2018

Stay safe and keep an eye on the updates. Our thoughts are with everyone affected by the flood in Sarawal Rural Municipality-7. 🙏💔

#FloodAlert #StaySafe #Nepal #SarawalRuralMunicipality7 #NawalparasiWest #Lumbini"
5,Sudurpashchim,Bhajani,Flood,Kailali,7/2/2018,Flood at Bhajani Municipality-5,"🚨 Urgent Update 🚨
💦 Flood Alert 💦

📍 Bhajani Municipality-5, Kailali District, Sudurpashchim Province

📅 Incident on: 7/2/2018

🌊 Heavy floods have hit Bhajani Municipality-5, causing severe damage to homes and infrastructure. The situation is critical, and immediate assistance is required.

🙏 Our thoughts and prayers are with the affected families. Let's come together and support them during this difficult time. #BhajaniFloods #PrayForBhajani #SupportNeeded"
7,Sudurpashchim,Bhajani,Flood,Kailali,7/2/2018,Flood at Bhajani Municipality-7,"🌊 Flood Alert! 🌊
Stay safe, Bhajani Municipality-7! 🚧
A flood has hit your area on 7/2/2018. 💔
Please take necessary precautions and stay updated with local authorities. 🙏
#FloodAlert #StaySafe #BhajaniMunicipality7 #Kailali #Sudurpashchim"
8,Sudurpashchim,Bhajani,Flood,Kailali,7/2/2018,Flood at Bhajani Municipality-8,"🚨 Urgent Update 🚨
Title: Flood at Bhajani Municipality-8

🌊💦 Devastating Flood Alert 💦🌊

📅 Incident Date: 7/2/2018
📍 Province: Sudurpashchim
🏞 District: Kailali
🏙 Municipality: Bhajani
🏘 Ward: 8

🚨 Residents of Bhajani Municipality-8, brace yourselves! 🚨 A massive flood has hit our beloved town. The situation is critical and requires immediate attention.

🙏 Please stay safe and follow all necessary precautions. Our thoughts and prayers are with you during this challenging time.

#FloodAlert #StaySafe #BhajaniMunicipality #PrayersForBhajani"
7,Koshi,Triyuga,Flood,Udayapur,7/2/2018,Flood at Triyuga Municipality-7,"🌊 Flood Alert 🌊

📍 Triyuga Municipality-7, Udayapur, Koshi Province

📅 Incident Date: 7/2/2018

Stay safe, Triyuga! Heavy flooding has hit your area. Take necessary precautions and follow local authorities' instructions. Our thoughts are with you during this challenging time. 💙 #FloodAlert #StaySafe #TriyugaStrong #Udayapur #KoshiProvince"
5,Madhesh,Chhipaharmai,Flood,Parsa,7/2/2018,Flood at Chhipaharmai Rural Municipality-5,"🚨 Urgent Update 🚨
🌊 Flood Alert 🌊

Title: Flood at Chhipaharmai Rural Municipality-5

📅 Incident Date: 7/2/2018
📍 Province: Madhesh
📍 District: Parsa
📍 Municipality: Chhipaharmai
📍 Ward: 5

Stay safe, stay informed, and look out for each other! 🙏🏼💙 #FloodAlert #StaySafe #Chhipaharmai #Madhesh #Parsa"
2,Bagmati,Bhotekoshi,Flood,Sindhupalchok,6/27/2018,Flood at Bhotekoshi Rural Municipality-2,"🚨 Urgent Update 🚨
A devastating flood has hit Bhotekoshi Rural Municipality-2 in Sindhupalchok district, Bagmati province. Our thoughts are with the affected families. Stay safe and stay tuned for more updates. #FloodAlert #StaySafe #BhotekoshiRuralMunicipality"
2,Gandaki,Bareng,Flood,Baglung,6/25/2018,Flood at Bareng Rural Municipality-2,"🌊 Flood Alert! 🌊
A devastating flood hit Bareng Rural Municipality-2 in Baglung district, Gandaki province. Stay safe and take necessary precautions! #FloodAlert #StaySafe #Baglung #Gandaki #BarengRuralMunicipality"
8,Gandaki,Kanthekhola,Flood,Baglung,6/17/2018,Flood at Kanthekhola Rural Municipality-8,"🚨 Urgent Announcement 🚨

🌊 Flood Alert 🌊

📍 Kanthekhola Rural Municipality-8, Baglung, Gandaki Province

📅 Incident Date: 6/17/2018

🚧 The Kanthekhola area is currently experiencing a severe flood. Residents of Ward 8 are advised to take immediate precautions and ensure their safety.

🙏 Stay tuned for further updates and stay safe, everyone! 🙏

#FloodAlert #Kanthekhola #Baglung #Gandaki #StaySafe"
4,Madhesh,Bardibas,Flood,Mahottari,6/17/2018,Flood at Bardibas Municipality-4,"🌊 Flood Alert! 🌊
Stay safe, Bardibas! 🙏
Flood reported at Bardibas Municipality-4, Mahottari District, Madhesh Province. 📍
Keep a lookout for updates and follow safety guidelines. 🚧
#FloodAlert #StaySafe #BardibasFlood #MahottariDistrict"
5,Bagmati,Aamachhodingmo,Flood,Rasuwa,6/9/2018,Flood at Aamachhodingmo Rural Municipality-5,"🚨 Urgent Alert! 🚨
A devastating flood has hit Aamachhodingmo Rural Municipality-5 in Rasuwa district, Bagmati province. Our thoughts and prayers are with the affected residents. Stay safe and stay strong! 💔🙏 #Floods #Aamachhodingmo #RasuwaStrong #StaySafe"
1,Karnali,Sani Bheri,Flood,Rukum West,6/7/2018,Flood at Sani Bheri Rural Municipality-1,"🚨 Urgent Update 🚨

💔 Devastating Flood at Sani Bheri Rural Municipality-1 💔

🌊 On 6/7/2018, a massive flood struck Sani Bheri, Rukum West, Karnali Province. Our thoughts and prayers are with the affected community. 🙏

💔 Let's come together and support the people of Sani Bheri in this difficult time. 🤝

#FloodRelief #SaniBheriStrong #SupportInTimesOfCrisis"
1,Bagmati,Manthali,Flood,Ramechhap,5/14/2018,Flood at Manthali Municipality-1,"🌊 Flood Alert 🌊

💔 Devastating flood hits Manthali Municipality-1, Ramechhap, Bagmati Province. Our thoughts and prayers are with the affected residents. Stay safe and seek higher ground if necessary. 🙏 #FloodAlert #ManthaliMunicipality1 #Ramechhap #BagmatiProvince #StaySafe"
2,Sudurpashchim,Durgathali,Flood,Bajhang,5/5/2018,Flood at Durgathali Rural Municipality-2,"🌊 Just in: Flood hits Durgathali Rural Municipality-2 in Bajhang, Sudurpashchim. Stay safe and be prepared! #FloodAlert #Durgathali #Bajhang #Sudurpashchim"
1,Sudurpashchim,Surma,Flood,Bajhang,5/5/2018,Flood at Surma Rural Municipality-1,"🌊 Flood Alert! 🌊

💔 Devastating flood hits Surma Rural Municipality-1 in Bajhang district, Sudurpashchim Province. 

📅 Incident on: 5/5/2018
📍 Location: Surma, Ward 1

🙏 Let's pray for the safety and well-being of the affected residents. Stay strong, Surma! 💪

#FloodAlert #PrayForSurma #StayStrongSurma #NaturalDisaster #BajhangDistrict #SudurpashchimProvince"
7,Sudurpashchim,JayaPrithivi,Flood,Bajhang,5/2/2018,Flood at JayaPrithivi Municipality-7,"🚨🌊 Flood Alert! 🌊🚨

📍JayaPrithivi Municipality-7, Bajhang, Sudurpashchim

📅 Incident Date: 5/2/2018

Stay safe! Heavy flooding has been reported in JayaPrithivi Municipality-7, Bajhang. Please take necessary precautions and stay away from affected areas. Our thoughts are with the affected residents. 🙏 #FloodAlert #StaySafe #Bajhang #JayaPrithiviMunicipality"
1,Sudurpashchim,Chaurpati,Flood,Achham,4/27/2018,Flood at Chaurpati Rural Municipality-1,"🌊 Flood Alert! 🌊 
📍 Chaurpati Rural Municipality-1, Achham, Sudurpashchim Province 

📅 Incident: 4/27/2018

Stay safe and take necessary precautions. Our thoughts are with everyone affected by the flood in Chaurpati Rural Municipality-1. #FloodAlert #StaySafe #Chaurpati #Achham #Sudurpashchim"
4,Lumbini,Sworgadwary,Flood,Pyuthan,4/26/2018,Flood at Sworgadwary Municipality-4,"🌊💔 Flood Alert: Sworgadwary Municipality-4 💔🌊

📅 Incident Date: 4/26/2018
📍 Province: Lumbini
🏞️ District: Pyuthan

Stay safe, everyone! Our thoughts are with the affected residents of Sworgadwary Municipality-4. Let's come together and support each other during this difficult time. #FloodAlert #SworgadwaryMunicipality4 #StaySafe"
3,Madhesh,Haripur,Flood,Sarlahi,10/2/2017,Flood at Haripur Municipality-3,"🚨 Urgent Update 🚨
Title: Flood at Haripur Municipality-3

🌊 The recent heavy rainfall has caused severe flooding in Haripur Municipality-3, Sarlahi district, Madhesh province. 🌧️🏞️

📅 Incident Date: 10/2/2017
📍 Location: Haripur Municipality-3

🙏 Our thoughts and prayers go out to the affected residents. Stay safe and seek higher ground if necessary. 💙

#Flood #Emergency #StaySafe #Haripur #Sarlahi #Madhesh"
3,Lumbini,Mallarani,Forest Fire,Pyuthan,4/28/2021,"Forest Fire at Mundanda, Mallarani Rural Municipality-3","🔥 Forest Fire Alert! 🔥

📍 Mundanda, Mallarani Rural Municipality-3, Pyuthan

📅 Incident Date: 4/28/2021

🌲 Stay safe everyone! A forest fire has broken out in Mundanda, Mallarani Rural Municipality-3, Pyuthan. Please avoid the area and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #ForestFire #Pyuthan #StaySafe"
6,Koshi,Manebhanjyang,Forest Fire,Okhaldhunga,4/28/2021,Forest Fire at Manebhanjyang Rural Municipality-6,"🔥 Forest Fire Alert! 🔥

📍 Manebhanjyang Rural Municipality-6, Okhaldhunga, Koshi Province

📅 Incident Date: 4/28/2021

🚨 A devastating forest fire has broken out in Ward 6 of Manebhanjyang. Immediate action is needed to control the flames and protect the precious biodiversity.

🙏 Let's come together and support the brave firefighters in their battle against this natural disaster. Stay safe, everyone! 🌳💔

#ForestFire #EmergencyAlert #Manebhanjyang #Okhaldhunga #KoshiProvince #StaySafe"
11,Bagmati,Panchkhal,Forest Fire,Kavrepalanchok,4/28/2021,Forest Fire at Panchkhal Municipality-11,"🔥 Forest Fire Alert! 🔥
📍 Panchkhal Municipality-11, Kavrepalanchok, Bagmati Province

🚨 A devastating forest fire broke out in Panchkhal Municipality-11. Our thoughts and prayers are with the affected community. Stay safe and vigilant! 🙏

#ForestFire #EmergencyAlert #StaySafe #PanchkhalMunicipality #Kavrepalanchok #BagmatiProvince"
5,Bagmati,Budhanilakantha,Forest Fire,Kathmandu,4/28/2021,"Forest Fire at Dandagaun, Budhanilakantha Municipality-5","🔥 Forest Fire Alert 🔥

📍 Dandagaun, Budhanilakantha-5, Kathmandu

📅 Incident Date: 4/28/2021

🌲🔥 A devastating forest fire has broken out in Dandagaun, Budhanilakantha-5, Kathmandu. The flames are spreading rapidly, posing a threat to the beautiful natural surroundings. 

🚨 Your safety is our top priority. Please stay away from the affected area and follow the instructions of local authorities.

#ForestFire #EmergencyAlert #StaySafe"
18,Gandaki,Pokhara Lekhnath,Forest Fire,Kaski,4/27/2021,Forest Fire at Pokhara Lekhnath Metropolitan City-18,"🔥 Forest Fire Alert! 🔥

📍 Pokhara Lekhnath Metropolitan City-18, Kaski, Gandaki Province

📅 Incident Date: 4/27/2021

Stay safe, everyone! 🙏 Please avoid the affected area and follow the instructions from local authorities. Our thoughts are with the community of Pokhara Lekhnath Ward-18. 🌿💔

#ForestFire #PokharaLekhnath #Kaski #GandakiProvince #StaySafe #PrayersForPokharaLekhnath"
10,Koshi,Sunkoshi,Forest Fire,Okhaldhunga,4/27/2021,"Forest Fire at Katunje, Sunkoshi Rural Municipality-10","🔥 Forest Fire Alert! 🔥

📍 Location: Katunje, Sunkoshi Rural Municipality-10, Okhaldhunga, Koshi Province

🚨 On 4/27/2021, a devastating forest fire broke out in Ward 10 of Sunkoshi. Our thoughts are with the affected community at this difficult time.

🙏 Let's come together and support the brave firefighters and local authorities in combating this natural disaster. Stay safe, everyone! 🌿💪

#ForestFire #EmergencyAlert #StaySafe #SupportLocal #Okhaldhunga #Sunkoshi #KoshiProvince"
2,Lumbini,Tribeni,Forest Fire,Rolpa,4/27/2021,"Forest Fire at Pidalc, Tribeni Rural Municipality-2","🔥 Forest Fire Alert 🔥

📍 Location: Pidalc, Tribeni Rural Municipality-2, Rolpa
📅 Incident Date: 4/27/2021

Attention, everyone! A devastating forest fire has broken out in Pidalc, Tribeni Rural Municipality-2, Rolpa. The flames are spreading rapidly, posing a significant threat to the surrounding area. 

🚨 We urge all residents to stay safe and follow the instructions of local authorities. Our thoughts are with the affected community during this challenging time. 🙏 #ForestFire #EmergencyResponse #StaySafe #TribeniRuralMunicipality"
10,Sudurpashchim,Dasharathchanda,Forest Fire,Baitadi,4/27/2021,Forest Fire at Dasharathchanda Municipality-10,"🔥 Forest Fire Alert! 🔥

📍 Dasharathchanda Municipality-10, Baitadi, Sudurpashchim

📅 Incident on: 4/27/2021

🚨 A devastating forest fire has broken out in Dasharathchanda Municipality-10. The flames are spreading rapidly, posing a threat to the surrounding area. 

🙏 Let's keep the brave firefighters and local authorities in our thoughts as they work tirelessly to contain the fire and protect lives and wildlife. Stay safe, everyone!

#ForestFire #Dasharathchanda #Baitadi #Sudurpashchim #StaySafe"
10,Sudurpashchim,Godawari_Kailali,Forest Fire,Kailali,4/27/2021,"Forest Fire at Khamura, Godawari_Kailali Municipality-10","🔥 Forest Fire Alert! 🔥

📍 Khamura, Godawari_Kailali Municipality-10

📅 Incident Date: 4/27/2021

🌍 Province: Sudurpashchim
🏞️ District: Kailali
🏙️ Municipality: Godawari_Kailali
🏘️ Ward: 10

Stay safe, everyone! 🙏 #ForestFire #Khamura #Godawari_Kailali #StaySafe"
2,Karnali,Bheriganga,Forest Fire,Surkhet,4/27/2021,"Forest Fire at Bakhregothali, Bheriganga Municipality-2","🔥 Forest Fire Alert! 🔥

📍 Bakhregothali, Bheriganga Municipality-2, Surkhet, Karnali

📅 Incident Date: 4/27/2021

🚨 A devastating forest fire has broken out in Bakhregothali, Surkhet. Our thoughts are with the affected community and brave firefighters battling the flames. Stay safe, everyone! 🙏💔

#ForestFire #EmergencyAlert #StaySafe #SurkhetStrong #PrayersForBakhregothali"
5,Koshi,Manebhanjyang,Forest Fire,Okhaldhunga,4/26/2021,"Forest Fire at Bhorle, Manebhanjyang Rural Municipality-5","🔥 Forest Fire Alert! 🔥

📍 Bhorle, Manebhanjyang Rural Municipality-5 
📅 Incident on: 4/26/2021
🌍 Province: Koshi
🌆 District: Okhaldhunga
🏢 Municipality: Manebhanjyang
🏞️ Ward: 5

Stay safe and vigilant, everyone! Let's hope for a swift containment of this forest fire. 🙏 #ForestFire #EmergencyAlert #StaySafe"
1,Bagmati,Sunkoshi,Forest Fire,Sindhuli,4/26/2021,"Forest Fire at Nepalthok, Sunkoshi Rural Municipality-1","🔥 Forest Fire Alert! 🔥

📍 Nepalthok, Sunkoshi Rural Municipality-1, Sindhuli, Bagmati Province

📅 Incident Date: 4/26/2021

Stay safe and be cautious, everyone! Our thoughts are with the affected community. 🙏

#ForestFire #Nepalthok #Sunkoshi #Sindhuli #Bagmati #StaySafe #DisasterAwareness"
1,Koshi,Molung,Forest Fire,Okhaldhunga,4/26/2021,Forest Fire at Molung Rural Municipality-1,"🔥 Forest Fire Alert! 🔥

📍 Molung Rural Municipality-1, Okhaldhunga, Koshi Province

📅 Incident Date: 4/26/2021

🚨 A devastating forest fire has broken out in Molung Rural Municipality-1, Okhaldhunga. Our thoughts are with the affected community and the brave firefighters battling this blaze. Stay safe, everyone! 💔

#ForestFire #EmergencyAlert #StaySafe"
6,Gandaki,Pokhara Lekhnath,Forest Fire,Kaski,4/26/2021,"Forest Fire at Jarewar, Pokhara Lekhnath Metropolitan City-6","🚨 Forest Fire Alert 🚨

🔥 A devastating forest fire has broken out in Jarewar, Pokhara Lekhnath Metropolitan City-6! 🔥

🗓 Incident Date: 4/26/2021
📍 Province: Gandaki
🏙 District: Kaski
🏢 Municipality: Pokhara Lekhnath
🌳 Ward: 6

🙏 Let's pray for the safety of the people and wildlife affected by this tragedy. Stay tuned for updates on the situation. 🙏

#ForestFire #EmergencyAlert #PokharaLekhnath #StaySafe #PrayersNeeded"
10,Sudurpashchim,Ghodaghodi,Forest Fire,Kailali,4/26/2021,"Forest Fire at Ghoadghodi, Ghodaghodi Municipality-10","🔥 Forest Fire Alert! 🔥

📍 Ghoadghodi, Ghodaghodi Municipality-10
📅 Incident on: 4/26/2021
🌍 Province: Sudurpashchim
🏞️ District: Kailali
🏢 Municipality: Ghodaghodi
🏘️ Ward: 10

Stay safe and keep away from affected areas. Our thoughts are with the community during this challenging time. 🙏 #ForestFire #Ghodaghodi #EmergencyResponse"
1,Koshi,Chisankhugadhi,Forest Fire,Okhaldhunga,4/25/2021,"Forest Fire at Khatrikhor, Chisankhugadhi Rural Municipality-1","🔥 Forest Fire Alert! 🔥

📍 Location: Khatrikhor, Chisankhugadhi Rural Municipality-1
📅 Incident Date: 4/25/2021
🌍 Province: Koshi
🏞️ District: Okhaldhunga
🏢 Municipality: Chisankhugadhi
🚒 Emergency Services Notified

Stay safe and keep an eye out for updates! 🙌 #ForestFire #EmergencyAlert #StaySafe"
